ISIN,SEDOL,Share Class,Currency,Date,Price,Price Change,Price Change(%),OCF,Domicile
IE00B246KL88,B246KL8,20+ Year Euro Treasury Index Fund EUR Acc,EUR,2023-05-05,150.0076,-2.6089000000000055,-1.71,0.1600000000000000033306690738754696212708950042724609375,Ireland
IE00BGCZ0L51,BGCZ0L5,20+ Year Euro Treasury Index Fund Institutional Plus EUR Acc,EUR,2023-05-05,72.7187,-1.2644999999999982,-1.71,0.1000000000000000055511151231257827021181583404541015625,Ireland
IE00B246KM95,B246KM9,30-40 Year Duration Euro Index Fund EURO Shares,EUR,2012-11-29,257.2152,4.280899999999974,1.69,0.299999999999999988897769753748434595763683319091796875,Ireland
IE000VIPJ289,BPLGRS8,ESG Developed World All Cap Equity Index Fund CHF Acc,CHF,2023-05-05,92.9197,2.0204000000000093,2.22,0.200000000000000011102230246251565404236316680908203125,Ireland
IE0001RDRUG3,BPLGRT9,ESG Developed World All Cap Equity Index Fund CHF Hedged Acc,CHF,2023-05-05,99.7181,1.5086000000000013,1.54,0.200000000000000011102230246251565404236316680908203125,Ireland
IE00B5456744,B545674,ESG Developed World All Cap Equity Index Fund EUR Acc,EUR,2023-05-05,299.6670,4.437399999999968,1.50,0.200000000000000011102230246251565404236316680908203125,Ireland
IE00B54FFW20,B54FFW2,ESG Developed World All Cap Equity Index Fund EUR Investor Shares,EUR,2020-06-19,230.6856,0.23910000000000764,0.10,0.200000000000000011102230246251565404236316680908203125,Ireland
IE00B76VTN11,B76VTN1,ESG Developed World All Cap Equity Index Fund GBP Acc,GBP,2023-05-05,341.9537,4.041899999999998,1.20,0.200000000000000011102230246251565404236316680908203125,Ireland
IE00B76VTM04,B76VTM0,ESG Developed World All Cap Equity Index Fund GBP Dist,GBP,2023-05-05,283.3713,3.3495000000000346,1.20,0.200000000000000011102230246251565404236316680908203125,Ireland
IE00BFPM9S65,BFPM9S6,ESG Developed World All Cap Equity Index Fund Institutional Plus EUR Acc,EUR,2023-05-05,242.1176,3.5857000000000028,1.50,0.13000000000000000444089209850062616169452667236328125,Ireland
IE00BNDQ1K21,BNDQ1K2,ESG Developed World All Cap Equity Index Fund Institutional Plus EUR Hedged Acc,EUR,2023-05-05,100.2119,1.5264999999999986,1.55,0.13000000000000000444089209850062616169452667236328125,Ireland
IE00BPT2BN12,BPT2BN1,ESG Developed World All Cap Equity Index Fund Institutional Plus GBP Acc,GBP,2023-05-05,231.8477,2.7409000000000106,1.20,0.13000000000000000444089209850062616169452667236328125,Ireland
IE00B505V954,B505V95,ESG Developed World All Cap Equity Index Fund USD Acc,USD,2023-05-05,175.8799,2.6988999999999805,1.56,0.200000000000000011102230246251565404236316680908203125,Ireland
IE000WZLTHJ2,BPLGRV1,ESG Emerging Markets All Cap Equity Index Fund CHF Acc,CHF,2023-05-05,87.4681,0.9564000000000021,1.11,0.25,Ireland
IE00BKV0W243,BKV0W24,ESG Emerging Markets All Cap Equity Index Fund EUR Acc,EUR,2023-05-05,106.7014,0.4186000000000121,0.39,0.25,Ireland
IE00BKV0VZ05,BKV0VZ0,ESG Emerging Markets All Cap Equity Index Fund GBP Acc,GBP,2023-05-05,104.2731,0.09409999999999741,0.09,0.25,Ireland
IE00BKV0W029,BKV0W02,ESG Emerging Markets All Cap Equity Index Fund GBP Dist,GBP,2023-05-05,98.2021,0.08870000000000289,0.09,0.25,Ireland
IE00BNDQ1L38,BNDQ1L3,ESG Emerging Markets All Cap Equity Index Fund Institutional Plus EUR Acc,EUR,2023-05-05,82.8138,0.32500000000000284,0.39,0.179999999999999993338661852249060757458209991455078125,Ireland
IE0005GPVQC0,BL972N5,ESG Emerging Markets All Cap Equity Index Fund Institutional Plus GBP Acc,GBP,2023-05-05,86.1033,0.07789999999999964,0.09,0.179999999999999993338661852249060757458209991455078125,Ireland
IE00BKV0W136,BKV0W13,ESG Emerging Markets All Cap Equity Index Fund Institutional Plus GBP Dist,GBP,2023-05-05,98.1996,0.08880000000000621,0.09,0.179999999999999993338661852249060757458209991455078125,Ireland
IE00BKV0W359,BKV0W35,ESG Emerging Markets All Cap Equity Index Fund USD Acc,USD,2023-05-05,103.4313,0.4619999999999891,0.45,0.25,Ireland
IE00094XDHB2,BMTWZF0,ESG Global Corporate Bond Index Fund CHF Hedged Acc,CHF,2023-05-05,104.9003,-0.31109999999999616,-0.30,0.200000000000000011102230246251565404236316680908203125,Ireland
IE00BNDS0V25,BNDS0V2,ESG Global Corporate Bond Index Fund EUR Hedged Acc,EUR,2023-05-05,105.7842,-0.2995999999999981,-0.28,0.200000000000000011102230246251565404236316680908203125,Ireland
IE00BNDS1195,BNDS119,ESG Global Corporate Bond Index Fund GBP Hedged Acc,GBP,2023-05-05,106.7045,-0.2926000000000073,-0.27,0.200000000000000011102230246251565404236316680908203125,Ireland
IE00BNDS1203,BNDS120,ESG Global Corporate Bond Index Fund GBP Hedged Dist,GBP,2023-05-05,104.7276,-0.28719999999999857,-0.27,0.200000000000000011102230246251565404236316680908203125,Ireland
IE00BNDS1310,BNDS131,ESG Global Corporate Bond Index Fund Institutional Plus GBP Hedged Acc,GBP,2023-05-05,106.7097,-0.29240000000000066,-0.27,0.14000000000000001332267629550187848508358001708984375,Ireland
IE00BNDS1427,BNDS142,ESG Global Corporate Bond Index Fund Institutional Plus GBP Hedged Dist,GBP,2023-05-05,104.7354,-0.28700000000000614,-0.27,0.14000000000000001332267629550187848508358001708984375,Ireland
IE000CI5UY91,BMTWZ94,ESG Global Corporate Bond Index Fund USD Hedged Acc,USD,2023-05-05,107.5200,-0.29000000000000625,-0.27,0.200000000000000011102230246251565404236316680908203125,Ireland
IE000T0AOV55,BP0PQK1,Emerging Markets Bond Fund Institutional CHF Hedged Accumulating,CHF,2023-05-05,88.1147,-0.09900000000000375,-0.11,0.5500000000000000444089209850062616169452667236328125,Ireland
IE00BNNLXF63,BNNLXF6,Emerging Markets Bond Fund Institutional Plus CHF Hedged Accumulating,CHF,2023-05-05,85.3943,-0.09550000000000125,-0.11,0.450000000000000011102230246251565404236316680908203125,Ireland
IE00BKLWXV65,BKLWXV6,Emerging Markets Bond Fund Institutional Plus EUR Hedged Accumulating,EUR,2023-05-05,86.1838,-0.08549999999999613,-0.10,0.450000000000000011102230246251565404236316680908203125,Ireland
IE00BKLWXR20,BKLWXR2,Emerging Markets Bond Fund Institutional Plus GBP Hedged Accumulation,GBP,2023-05-05,90.4032,-0.0835000000000008,-0.09,0.450000000000000011102230246251565404236316680908203125,Ireland
IE00BKLWXN81,BKLWXN8,Emerging Markets Bond Fund Institutional Plus USD Accumulation,USD,2023-05-05,107.0531,-0.09879999999999711,-0.09,0.450000000000000011102230246251565404236316680908203125,Ireland
IE00BKLWXS37,BKLWXS3,Emerging Markets Bond Fund Investor EUR Hedged Accumulation,EUR,2023-05-05,99.2965,-0.09900000000000375,-0.10,0.59999999999999997779553950749686919152736663818359375,Ireland
IE00BKLWXP06,BKLWXP0,Emerging Markets Bond Fund Investor GBP Hedged Accumulation,GBP,2023-05-05,102.3684,-0.0945999999999998,-0.09,0.59999999999999997779553950749686919152736663818359375,Ireland
IE00BKLWXM74,BKLWXM7,Emerging Markets Bond Fund Investor USD Accumulation,USD,2023-05-05,106.5054,-0.09860000000000468,-0.09,0.59999999999999997779553950749686919152736663818359375,Ireland
IE0031786696,3178669,Emerging Markets Stock Index Fund EUR Acc,EUR,2023-05-05,174.5658,0.8975999999999829,0.52,0.2300000000000000099920072216264088638126850128173828125,Ireland
IE0031786142,3178614,Emerging Markets Stock Index Fund EUR Investor Shares,EUR,2023-05-05,173.3847,0.8914000000000044,0.52,0.2300000000000000099920072216264088638126850128173828125,Ireland
IE00B50MZ724,B50MZ72,Emerging Markets Stock Index Fund GBP Acc,GBP,2023-05-05,234.3352,0.49789999999998713,0.21,0.2300000000000000099920072216264088638126850128173828125,Ireland
IE00B51KVT96,B51KVT9,Emerging Markets Stock Index Fund GBP Dist,GBP,2023-05-05,175.6392,0.37309999999999377,0.21,0.2300000000000000099920072216264088638126850128173828125,Ireland
