Sedol,Nav,Navdate,Fundname,Classname
BH5M0Z4,124.28460000,20230505,NT EMERGING MARKETS MULTI FACTOR ESG FUND,NT EM MK MF ESG USD C
B02L3B2,171.85360000,20230505,NT EURO GOV BOND INDEX,EUR CLS B
BRJSWR4,103.09530000,20230505,NT EURO GOV BOND INDEX,NTIF EURO GOVT BOND INDEX FUND CLASS P1
BF0SY40,96.53960000,20230505,NT EURO GOV BOND INDEX,NTIF EURO GOVT BOND INDEX FUND CLASS C
B8MZ9L2,140.29450000,20230505,NT EMERGING MARKET CUSTOM ESG EQUITY INDEX FUND,NT EM MK CUS EUR B
BH3GZH5,152.37840000,20230505,NT EMERGING MARKET CUSTOM ESG EQUITY INDEX FUND,NT EM MK CUS EUR C
BJ0X829,129.24470000,20230505,NT EMERGING MARKET CUSTOM ESG EQUITY INDEX FUND,NT EM MK CUS EUR D
BJ0X841,95.55470000,20230505,NT EMERGING MARKET CUSTOM ESG EQUITY INDEX FUND,NT EM MK CUS GBP B ACC
BJ0X8B8,105.11080000,20230505,NT EMERGING MARKET CUSTOM ESG EQUITY INDEX FUND,NT EM MK CUS USD D
BYZ6J70,108.36650000,20230505,NT EMERGING MARKET CUSTOM ESG EQUITY INDEX FUND,NT EM MK CUS EUR CL E ACC
BHWGWZ3,96.98350000,20230505,NT EMERGING MARKET CUSTOM ESG EQUITY INDEX FUND,NT EM MK CUS EUR G ACC
BLK22Z1,121.36570000,20230505,NT EMERGING MARKET CUSTOM ESG EQUITY INDEX FUND,NT EM MK CUS USD E ACC
BN0X9B3,89.20540000,20230505,NT EMERGING MARKET CUSTOM ESG EQUITY INDEX FUND,NT EM MK CUS EUR H ACC
BBMT2K5,113.68140000,20230505,THE NT EMERGING MARKETS QUALITY LOW CARBON FUND,NT EM MK QUALITY LOW CARBON USD C
BF99VT8,102.95800000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,EM LO GOV ESG BD IX B ACC
BZ0XHC4,105.53740000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,EM LO GOV ESG BD IX D ACC
BDCLL97,79.15160000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT EM ESG LEADERS EQUITY INDEX CL B GBP ACC
BF11F34,109.88140000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT EMG MKT ESG CL B ACC
BJLVRX6,112.98420000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT EM ESG LEADERS EQUITY INDEX CL B EUR DIST
BF6RPW6,14.93060000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT WRLD EQ FDR A EUR ACC
BYVZ8M9,11.16970000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT WRLD EQ FDR B GBP DIST
BYVZ8P2,10.36400000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT WRLD EQ FDR C EUR ACC
BYVZ8R4,14.94240000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT WRLD EQ FDR D EUR ACC
BYVZ8T6,14.44870000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT WRLD EQ FDR D USD ACC
BYVZ8V8,13.77430000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT WRLD EQ FDR D USD DIST
BMGYBR3,74.57140000,20230505,NORTHERN TRUST INVESTMENT FUNDS P.L.C.,THE NT EMERGING MARKETS GREEN TRANS INDEX CL B USD
BMGYF26,86.19360000,20230505,NORTHERN TRUST INVESTMENT FUNDS P.L.C.,THE NT EMERGING MARKETS GREEN TRANS INDEX CL A EUR
BMGWPP3,75.95430000,20230505,NORTHERN TRUST INVESTMENT FUNDS P.L.C.,THE NT EMERGING MKT GREEN TRANS INDEX CL C GBP DIS
BMGWPQ4,75.94000000,20230505,NORTHERN TRUST INVESTMENT FUNDS P.L.C.,THE NT EMERGING MKT GREEN TRANS INDEX CL D GBP DIS
,75.94830000,20230505,NORTHERN TRUST INVESTMENT FUNDS P.L.C.,THE NT EMERGING MARKETS GREEN TRANS INDEX CL F USD
B61NBX9,1.40510000,20230505,NT EURO GOV INF LK INDEX,NT EURO GOVT EUR CL B NT EURO GOVT INFLALNK IND FD
B61MDD0,1.41200000,20230505,NT EURO GOV INF LK INDEX,NT EURO GOVT INFLATION LINKED INDEX CLASS C
BRJSWY1,1.08980000,20230505,NT EURO GOV INF LK INDEX,NTIF EUR GOV INF LINKED INDEX BOND
BHXM9L5,1.03070000,20230505,NT EURO GOV INF LK INDEX,GBP CLASS C SHARES
B8HVJP9,97.09180000,20230505,NT HIGH QUALITY EUROPE GOVENMENT BOND FUND,NT HI QULTY CL EUR B
B7MTT51,98.72360000,20230505,NT HIGH QUALITY EUROPE GOVENMENT BOND FUND,NT HI QULTY CL EUR C
BNHSPD5,88.21660000,20230505,NT HIGH QUALITY EUROPE GOVENMENT BOND FUND,NT HI QULTY CL EUR P1
B4NCR76,18.44930000,20230505,NT ALL COUNTRY ASIA EX JAPAN CUSTOM ESG,NT ASIA EX JAPAN EQUITY IND EUR C SHARES
BF116B9,9.70380000,20230505,NT ALL COUNTRY ASIA EX JAPAN CUSTOM ESG,NT ASIA EX JAPAN EQUITY IND USD C SHARES
BJN5LJ0,86.70200000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT EUR INV GRADE COR ESG BOND IDX C EUR ACC
BJLMYJ4,88.15340000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT EUR INV GRADE COR ESG BOND IDX G EUR ACC
BJN5LH8,100.26830000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT GBL HIGH YLD ESG BOND IDX FUND CLASS D EUR ACC
BJLFLJ2,102.97620000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT GBL High YLD ESG Bond IDX Fund Class G EUR ACC
BJN6KS5,94.41440000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT GBL HIGH YLD ESG BOND IDX FUND CLASS H USD INC
BJN5LD4,14.39550000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT WRLD ESG EQ INDX FEEDER FUND ACC EUR CLASS B
BYZMKH5,13.88750000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT WRLD ESG EQ INDX FEEDER FUND ACC EUR CLASS P
BLLV8H1,11.00270000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT WRLD ESG EQ INDX FEEDER FUND ACC USD CLASS D
BP6C0V5,10.10450000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT WRLD ESG EQ INDX FEEDER FUND ACC EUR CLASS D
BYZMKJ7,13.02860000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT WRLD ESG EUR HEDGED EQ IX FEEDER ACC EUR CL P
BNTVV23,10.97980000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT QT LOW VOL LOW CARBON WORLD FEEDER  A GBP ACC
BNTVV34,10.83640000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT QT LOW VOL LOW CARBON WORLD FEEDER  A GBP DIST
BNTVV45,11.00000000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT QT LOW VOL LOW CARBON WORLD FEEDER  B GBP ACC
BNTVV56,10.83620000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT QT LOW VOL LOW CARBON WORLD FEEDER  B GBP DIST
,10.36260000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT QT LOW VOL LOW CARBON WORLD FEEDER  B EUR ACC
BMT7SW3,10.13530000,20230505,NORTHERN TRUST INVESTMENT FUNDS P.L.C.,NT World Green Transition Index Feeder A GBP ACC
BMT7SL2,10.87820000,20230505,NORTHERN TRUST INVESTMENT FUNDS P.L.C.,NT World Green Transition Index Feeder B GBP INC
BMT7SM3,10.06500000,20230505,NORTHERN TRUST INVESTMENT FUNDS P.L.C.,NT World Green Transition Index Feeder C GBP ACC
BNC0D10,8.64690000,20230505,NORTHERN TRUST INVESTMENT FUNDS P.L.C.,NT World Green Transition Index Feeder A USD ACC
BNKDZY8,9.23970000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT WORLD SML CAP ESG LW CARBON IX FEEDR A GBP ACC
BNYKFM3,9.12080000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT WORLD SML CAP ESG LW CARBON IX FEEDR A GBP INC
BNYKFK1,9.24830000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT WORLD SML CAP ESG LW CARBON IX FEEDER B GBP Acc
BNKDZX7,9.12730000,20230505,NORTHERN TRUST INVESTMENT FUNDS PLC,NT WORLD SML CAP ESG LW CARBON IX FEEDER B GBP INC
