Umbrella_Name,Fund_Name,Fund_Class,Valuation_Date,BASECurrency,QUOTCurrency,NAV_per_unit,Previous_NAV_per_unit,Change_in_NAV_per_unit,Change_Percent_in_NAV_per_unit,Client_Offer_Price,Client_Offer_Percentage,Income_Aktien,Total_NAV_per_Class_Base_Ccy,Total_Net_Assets_per_Class_MIL,Units_In_Issue,DIV_Flag,Cutas,FT,ISIN,BloombergTicker,VN,FMSedols,ISESedols,EuroClearCedel,Bundesamt,Sicovam,AFCCodes,WKN,Annualised_1_Day_Yield,clio_fund_id,Distribution_rate_per_share,Accum_Deemed_Distrib,Cap_Per_Unit,Inc_Per_Unit,Fund_Title,IFAST_account_number,IFAST_account_class,Income_Zwish,Unrounded_Quotations_NAV,Unrounded_Base_NAV,Exchange_Rate,ExpenseRatio,DividendtoMonthMethod,FundType,AccrualDate,MillRate,DailyDividend,DividendMonthtodate,DayYield1,DayYield7,DayYield30,MCH_account_number,MCH_account_class,Income_IG,Total_NAV_Per_Fund,AG2,TIS,TID,CUSIP,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF European Responsible Equity Fund,USD A Class Accumulation,05/05/2023,USD,USD,108.24,106.98,1.26,1.18,,,.00,25073981.89,25.07,231648.116,XD,EEA,BBEGAN,IE0001148372,PIFEGFA ID,514304,,0114837,7720726,,,,986041,,308,,,,,PGIF European Responsible Equity Fund,PEEF,A,.0000,108.241683,108.241683,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PRA2,C,0,125372503,.000000000,.000000,.000000000,G7244L206,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF European Responsible Equity Fund,USD A Class Income,05/05/2023,USD,USD,81.25,80.31,.94,1.17,,,.00,3082815.25,3.08,37940.248,XD,EEI,BBEGRN,IE0000712996,PIFEGFI ID,116285,,0071299,7720661,,,,986040,,309,,,,,PGIF European Responsible Equity Fund,PEEF,I,.0000,81.254483,81.254483,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PRA2,B,0,125372503,.000000000,.000000,.000000000,G7244L214,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF European Responsible Equity Fund,USD I Class Accumulation,05/05/2023,USD,USD,39.55,39.09,.46,1.18,,,.00,4635947.79,4.64,117214.541,XD,EENA,BBIEEA,IE0002490963,PIFEEIA ID,860549,,0249096,8831122,,,,987946,,310,,,,,PGIF European Responsible Equity Fund,PEEF,NA,.0000,39.550961,39.550961,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PRA2,D,0,125372503,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF European Responsible Equity Fund,EUR I Class Accumulation,05/05/2023,USD,EUR,23.03,22.77,.26,1.14,,,.00,6689150.69,6.69,263925.651,,,,IE00B60S0X89,PIFEQIA ID,11492508,,B60S0X8,,,,,A1XCJ6,,,,,,,PGIF European Responsible Equity Fund,PEEF,,.0000,23.027605,25.344830,.908572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PRA2,I,0,125372503,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF European Responsible Equity Fund,SGD Hedged I Class Accumulation,05/05/2023,USD,SGD,10.37,10.25,.12,1.17,,,.00,85890607.80,85.89,10981635.080,,,,IE000OD76VU9,PRGEEIH ID,,,BN0XRT7,,,,,A3DGK9,,,,,,,PGIF European Responsible Equity Fund,,,.0000,10.367951,7.821295,1.325605,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,125372503,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,USD A Class Accumulation,05/05/2023,USD,USD,20.43,20.39,.04,.20,,,.00,19988376.47,19.99,978434.818,X,PHYFU,,IE00B0Z1BD73,PIFHYIA ID,2451193,,B1YQ5W7,24593215,,,,A0JDN1,,1354,,,,,PGIF Global High Yield Fund,PHYF,AU,.0000,20.428930,20.428930,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PRA9,B,0,225290331,.000000000,.000000,.000000000,G7244T340,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,USD A Class Income,05/05/2023,USD,USD,8.53,8.51,.02,.24,,,.00,1122629.02,1.12,131614.580,,,,IE00B1YLT193,PIFIEAI ID,4769628,,B1YLT19,,,,,A12HVK,,,,,,,PGIF Global High Yield Fund,,,.0000,8.529671,8.529671,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,225290331,.000000000,.000000,.000000000,G7244L 768,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,USD D Class Accumulation,05/05/2023,USD,USD,12.87,12.84,.03,.23,,,.00,42555.62,.04,3307.499,,,,IE00B3XZ1S74,PRHYDDA ID,,,B3XZ1S7,,,,,A14Z03,,,,,,,PGIF Global High Yield Fund,,,.0000,12.866404,12.866404,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,225290331,.000000000,.000000,.000000000,G7244T 274,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,USD I Class Accumulation,05/05/2023,USD,USD,29.77,29.72,.05,.17,,,.00,54431965.88,54.43,1828343.536,XD,PHYNA,Q2HYIA,IE00B00JW110,PIFHYAC ID,1828472,,B1YQ5X8,19253511,,,,A0B989,,907,,,,,PGIF Global High Yield Fund,PHYF,NA,.0000,29.771192,29.771192,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PRA9,D,0,225290331,.000000000,.000000,.000000000,G7244L 156,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,USD N Class Accumulation Units,05/05/2023,USD,USD,10.27,10.25,.02,.20,,,.00,1027.19,.00,100.000,,,,IE00BD0Q8P95,PGIHYNA ID,,,BD0Q8P9,,,,,A2PM6W,,,,,,,PGIF Global High Yield Fund,,,.0000,10.271900,10.271900,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,225290331,.000000000,.000000,.000000000,,EndofRow,
