Name,ISIN,Transaction Date,Currency Transaction Price,Transaction price,Currency AuM, AuM ,TIS
Inst Liability Driven Euro Core Govt Bond 40,NL0009799246,05-May-23,EUR,158.69,EUR,86157833.63,
Institutional Emerging Markets Fund,NL0000275915,05-May-23,EUR,120.18,EUR,701034632.49,
Robeco QI Customized Emerging Markets Enhanced Index Equities Fund,NL0010280111,05-May-23,EUR,155.42,EUR,1193417271.84,
Robeco Customized Euro Government Bonds Fund - EUR F,NL0012650444,05-May-23,EUR,98.25,EUR,160868633.31,
Robeco Customized Euro Government Bonds Fund - EUR G,NL0012650451,05-May-23,EUR,86.61,EUR,160868633.31,
Robeco Customized Euro Government Bonds Fund - EUR Z,NL0015000Z70,05-May-23,EUR,9.87,EUR,160868633.31,
Robeco Institutional Sustainable Core Euro Bonds,NL0010278982,05-May-23,EUR,101.62,EUR,308282209.25,
Robeco Afrika Fonds,NL0006238131,05-May-23,EUR,84.53,EUR,19630814.36,
Robeco Afrika Fonds - EUR G,NL0010510822,05-May-23,EUR,75.12,EUR,19630814.36,
Robeco US Large Cap Equities EUR G E,NL0010831046,05-May-23,EUR,46.68,EUR,111910761.60,
Robeco US Large Cap Equities EUR X E,NL0012650717,05-May-23,EUR,48.21,EUR,111910761.60,
Robeco QI Global Multi-Factor Equities Fund EUR G,NL0011354873,05-May-23,EUR,155.05,EUR,144309622.67,
Robeco QI Global Multi-Factor Equities Fund EUR X,NL0011354881,05-May-23,EUR,139.48,EUR,144309622.67,
Robeco QI Global Developed Enhanced Index Equities Fund,NL0011896998,05-May-23,EUR,160.54,EUR,1516056653.28,
Robeco QI Global Developed Enhanced Index Equities Fund - EUR N,NL0012375307,05-May-23,EUR,163.93,EUR,1516056653.28,
Robeco US Conservative High Dividend Equities EUR G,NL0010619748,05-May-23,EUR,49.51,USD,68095870.84,
Robeco QI Global Developed Conservative Equities Fund - EUR G,NL0011354865,05-May-23,EUR,126.82,EUR,281363788.77,
Robeco QI Global Developed Conservative Equities Fund - EUR X,NL0011354972,05-May-23,EUR,137.00,EUR,281363788.77,
Robeco ONE Defensief,NL0010220810,05-May-23,EUR,132.81,EUR,154592086.49,
Robeco ONE Neutraal,NL0010220828,05-May-23,EUR,157.15,EUR,500510356.89,
Robeco ONE Offensief,NL0010220836,05-May-23,EUR,187.49,EUR,428060190.94,
Robeco Sustainable Global Stars Equities Fund,NL0000289783,05-May-23,EUR,58.42,EUR,3115966036.74,
Robeco Sustainable Global Stars Equities Fund - EUR G,NL0010366407,05-May-23,EUR,64.62,EUR,3115966036.74,
Rolinco,NL0000289817,05-May-23,EUR,51.12,EUR,828365141.96,
Rolinco EUR G,NL0010510798,05-May-23,EUR,55.64,EUR,828365141.96,
Rolinco CP,NL0000288736,05-May-23,EUR,47.96,EUR,5734419.57,
Robeco QI Institutional Emerging Markets Enhanced Index Equities Fund,NL0000688349,05-May-23,EUR,146.84,EUR,897342988.32,
Robeco Life Cycle Fund 2025 F EUR,LU0966309212,05-May-23,EUR,63.49,EUR,24071065.57,
Robeco Life Cycle Fund 2030 F EUR,LU0966309303,05-May-23,EUR,69.77,EUR,44915343.98,
Robeco Life Cycle Fund 2035 F EUR,LU0966309485,05-May-23,EUR,81.17,EUR,40621846.36,
Robeco Life Cycle Fund 2040 F EUR,LU0966309568,05-May-23,EUR,89.99,EUR,29122857.60,
